size,network,noise_level,mean_noise_accuracy,std_noise_accuracy,min_noise_accuracy,max_noise_accuracy,final_noise_accuracy,noise_auc
7,Hebbian,0.05,0.18220328909148448,0.2551239687805825,0.0,1.0,0.1538461538461538,0.16001393997905847
7,Hebbian,0.1,0.1788058531940486,0.25512681938855447,0.0,1.0,0.1538461538461538,0.15661650408162256
7,Hebbian,0.15,0.17764830881535038,0.24964216433623693,0.0,1.0,0.15,0.15553292419996578
7,Hopfield,0.05,0.17860368356880205,0.2568045008886777,0.0,1.0,0.1538461538461538,0.15641433445637604
7,Hopfield,0.1,0.18001393997905848,0.25640922423590207,0.0,1.0,0.1538461538461538,0.15782459086663242
7,Hopfield,0.15,0.17655240151752,0.25087313348113777,0.0,1.0,0.1538461538461538,0.15436305240509396
10,Hebbian,0.05,0.10051775147928994,0.27147453420699513,0.0,1.0,0.0,0.08128698224852071
10,Hebbian,0.1,0.09985535831689678,0.2707605670927167,0.0,1.0,0.0,0.08062458908612755
10,Hebbian,0.15,0.09824950690335305,0.26951398764486467,0.0,1.0,0.0,0.07901873767258381
10,Hopfield,0.05,0.1029585798816568,0.27111083958654997,0.0,1.0,0.0,0.08372781065088758
10,Hopfield,0.1,0.1029585798816568,0.27111083958654997,0.0,1.0,0.0,0.08372781065088758
10,Hopfield,0.15,0.10199704142011834,0.2706123481340528,0.0,1.0,0.0,0.08276627218934911
15,Hebbian,0.05,0.07692307692307693,0.271746488194703,0.0,1.0,0.0,0.057692307692307696
15,Hebbian,0.1,0.07692307692307693,0.271746488194703,0.0,1.0,0.0,0.057692307692307696
15,Hebbian,0.15,0.07692307692307693,0.271746488194703,0.0,1.0,0.0,0.057692307692307696
15,Hopfield,0.05,0.07692307692307693,0.271746488194703,0.0,1.0,0.0,0.057692307692307696
15,Hopfield,0.1,0.07692307692307693,0.271746488194703,0.0,1.0,0.0,0.057692307692307696
15,Hopfield,0.15,0.07692307692307693,0.271746488194703,0.0,1.0,0.0,0.057692307692307696
