size,n_patterns,correct,total,accuracy
7,1,1,1,1.0
7,2,2,2,1.0
7,3,0,3,0.0
7,4,1,4,0.25
7,5,0,5,0.0
7,6,1,6,0.16666666666666666
7,7,0,7,0.0
7,8,0,8,0.0
7,9,0,9,0.0
7,10,1,10,0.1
7,11,0,11,0.0
7,12,1,12,0.08333333333333333
7,13,1,13,0.07692307692307693
7,14,0,14,0.0
7,15,0,15,0.0
7,16,3,16,0.1875
7,17,3,17,0.17647058823529413
7,18,4,18,0.2222222222222222
7,19,4,19,0.21052631578947367
7,20,4,20,0.2
7,21,4,21,0.19047619047619047
7,22,4,22,0.18181818181818182
7,23,4,23,0.17391304347826086
7,24,4,24,0.16666666666666666
7,25,4,25,0.16
7,26,4,26,0.15384615384615385
10,1,1,1,1.0
10,2,2,2,1.0
10,3,0,3,0.0
10,4,1,4,0.25
10,5,0,5,0.0
10,6,1,6,0.16666666666666666
10,7,0,7,0.0
10,8,0,8,0.0
10,9,0,9,0.0
10,10,1,10,0.1
10,11,0,11,0.0
10,12,1,12,0.08333333333333333
10,13,1,13,0.07692307692307693
10,14,0,14,0.0
10,15,0,15,0.0
10,16,0,16,0.0
10,17,0,17,0.0
10,18,0,18,0.0
10,19,0,19,0.0
10,20,0,20,0.0
10,21,0,21,0.0
10,22,0,22,0.0
10,23,0,23,0.0
10,24,0,24,0.0
10,25,0,25,0.0
10,26,0,26,0.0
15,1,1,1,1.0
15,2,2,2,1.0
15,3,0,3,0.0
15,4,0,4,0.0
15,5,0,5,0.0
15,6,0,6,0.0
15,7,0,7,0.0
15,8,0,8,0.0
15,9,0,9,0.0
15,10,0,10,0.0
15,11,0,11,0.0
15,12,0,12,0.0
15,13,0,13,0.0
15,14,0,14,0.0
15,15,0,15,0.0
15,16,0,16,0.0
15,17,0,17,0.0
15,18,0,18,0.0
15,19,0,19,0.0
15,20,0,20,0.0
15,21,0,21,0.0
15,22,0,22,0.0
15,23,0,23,0.0
15,24,0,24,0.0
15,25,0,25,0.0
15,26,0,26,0.0
