size,n_neurons,n_patterns,stored_labels,noise_level,noise_percent,repetitions,correct,total_trials,accuracy,mean_noisy_similarity,mean_recovered_similarity,std_recovered_similarity
7,49,1,A,0.05,5,10,10,10,1.0,0.9591836734693878,1.0,0.0
7,49,1,A,0.1,10,10,10,10,1.0,0.8979591836734693,1.0,0.0
7,49,1,A,0.15,15,10,10,10,1.0,0.8571428571428571,1.0,0.0
7,49,2,AB,0.05,5,10,20,20,1.0,0.9591836734693875,1.0,0.0
7,49,2,AB,0.1,10,10,20,20,1.0,0.8979591836734692,1.0,0.0
7,49,2,AB,0.15,15,10,19,20,0.95,0.8571428571428571,0.9979591836734695,0.008895712129674853
7,49,3,ABC,0.05,5,10,0,30,0.0,0.9591836734693875,0.9319727891156463,0.04193478913584338
7,49,3,ABC,0.1,10,10,0,30,0.0,0.897959183673469,0.9319727891156463,0.04193478913584338
7,49,3,ABC,0.15,15,10,0,30,0.0,0.8571428571428572,0.9319727891156463,0.04193478913584338
7,49,4,ABCD,0.05,5,10,10,40,0.25,0.9591836734693878,0.9336734693877551,0.05277592057545206
7,49,4,ABCD,0.1,10,10,10,40,0.25,0.8979591836734693,0.9336734693877551,0.05277592057545206
7,49,4,ABCD,0.15,15,10,10,40,0.25,0.8571428571428571,0.9336734693877551,0.05277592057545206
7,49,5,ABCDE,0.05,5,10,0,50,0.0,0.9591836734693879,0.930612244897959,0.03315934042708556
7,49,5,ABCDE,0.1,10,10,0,50,0.0,0.8979591836734694,0.930612244897959,0.03315934042708556
7,49,5,ABCDE,0.15,15,10,0,50,0.0,0.857142857142857,0.930612244897959,0.03315934042708556
7,49,6,ABCDEF,0.05,5,10,9,60,0.15,0.959183673469388,0.951360544217687,0.03457194794095947
7,49,6,ABCDEF,0.1,10,10,10,60,0.16666666666666666,0.8979591836734695,0.9517006802721089,0.034345321255413154
7,49,6,ABCDEF,0.15,15,10,10,60,0.16666666666666666,0.8571428571428569,0.9489795918367345,0.03641203725461941
7,49,7,ABCDEFG,0.05,5,10,0,70,0.0,0.9591836734693877,0.9271137026239066,0.030577517439363027
7,49,7,ABCDEFG,0.1,10,10,0,70,0.0,0.8979591836734695,0.9271137026239066,0.030577517439363027
7,49,7,ABCDEFG,0.15,15,10,0,70,0.0,0.8571428571428568,0.9271137026239066,0.030577517439363027
7,49,8,ABCDEFGH,0.05,5,10,0,80,0.0,0.9591836734693879,0.9336734693877551,0.03345631900154082
7,49,8,ABCDEFGH,0.1,10,10,0,80,0.0,0.8979591836734693,0.9336734693877551,0.03345631900154082
7,49,8,ABCDEFGH,0.15,15,10,0,80,0.0,0.857142857142857,0.9336734693877551,0.03345631900154082
7,49,9,ABCDEFGHI,0.05,5,10,0,90,0.0,0.9591836734693879,0.925170068027211,0.03966633942071634
7,49,9,ABCDEFGHI,0.1,10,10,0,90,0.0,0.8979591836734693,0.925170068027211,0.03966633942071634
7,49,9,ABCDEFGHI,0.15,15,10,0,90,0.0,0.8571428571428571,0.925170068027211,0.03966633942071634
7,49,10,ABCDEFGHIJ,0.05,5,10,6,100,0.06,0.9591836734693878,0.9357142857142857,0.041762003938124743
7,49,10,ABCDEFGHIJ,0.1,10,10,8,100,0.08,0.8979591836734692,0.9367346938775509,0.04117192041190206
7,49,10,ABCDEFGHIJ,0.15,15,10,4,100,0.04,0.8571428571428572,0.9344897959183673,0.039498627921276876
7,49,11,ABCDEFGHIJK,0.05,5,10,0,110,0.0,0.9591836734693877,0.9183673469387754,0.040816326530612256
7,49,11,ABCDEFGHIJK,0.1,10,10,0,110,0.0,0.897959183673469,0.9183673469387754,0.040816326530612256
7,49,11,ABCDEFGHIJK,0.15,15,10,0,110,0.0,0.8571428571428573,0.9183673469387754,0.040816326530612256
7,49,12,ABCDEFGHIJKL,0.05,5,10,10,120,0.08333333333333333,0.959183673469388,0.9166666666666666,0.050306800876697415
7,49,12,ABCDEFGHIJKL,0.1,10,10,10,120,0.08333333333333333,0.8979591836734694,0.9166666666666666,0.050306800876697415
7,49,12,ABCDEFGHIJKL,0.15,15,10,10,120,0.08333333333333333,0.8571428571428572,0.9166666666666666,0.050306800876697415
7,49,13,ABCDEFGHIJKLM,0.05,5,10,10,130,0.07692307692307693,0.9591836734693879,0.9073783359497646,0.05806355418809083
7,49,13,ABCDEFGHIJKLM,0.1,10,10,10,130,0.07692307692307693,0.8979591836734694,0.9073783359497646,0.05806355418809083
7,49,13,ABCDEFGHIJKLM,0.15,15,10,10,130,0.07692307692307693,0.857142857142857,0.9073783359497646,0.05806355418809083
7,49,14,ABCDEFGHIJKLMN,0.05,5,10,0,140,0.0,0.9591836734693877,0.9096209912536444,0.05547025536571559
7,49,14,ABCDEFGHIJKLMN,0.1,10,10,0,140,0.0,0.8979591836734693,0.9096209912536444,0.05547025536571559
7,49,14,ABCDEFGHIJKLMN,0.15,15,10,0,140,0.0,0.857142857142857,0.9096209912536444,0.05547025536571559
7,49,15,ABCDEFGHIJKLMNO,0.05,5,10,0,150,0.0,0.9591836734693877,0.9074829931972789,0.054183150344870416
7,49,15,ABCDEFGHIJKLMNO,0.1,10,10,0,150,0.0,0.897959183673469,0.9074829931972789,0.054183150344870416
7,49,15,ABCDEFGHIJKLMNO,0.15,15,10,0,150,0.0,0.857142857142857,0.9074829931972789,0.054183150344870416
7,49,16,ABCDEFGHIJKLMNOP,0.05,5,10,30,160,0.1875,0.9591836734693879,0.909438775510204,0.0624739637564207
7,49,16,ABCDEFGHIJKLMNOP,0.1,10,10,30,160,0.1875,0.8979591836734693,0.909438775510204,0.0624739637564207
7,49,16,ABCDEFGHIJKLMNOP,0.15,15,10,30,160,0.1875,0.857142857142857,0.909438775510204,0.0624739637564207
7,49,17,ABCDEFGHIJKLMNOPQ,0.05,5,10,30,170,0.17647058823529413,0.959183673469388,0.9039615846338537,0.06444689330837719
7,49,17,ABCDEFGHIJKLMNOPQ,0.1,10,10,30,170,0.17647058823529413,0.8979591836734692,0.9039615846338537,0.06444689330837719
7,49,17,ABCDEFGHIJKLMNOPQ,0.15,15,10,30,170,0.17647058823529413,0.857142857142857,0.9039615846338537,0.06444689330837719
7,49,18,ABCDEFGHIJKLMNOPQR,0.05,5,10,40,180,0.2222222222222222,0.9591836734693879,0.909297052154195,0.06638222752065509
7,49,18,ABCDEFGHIJKLMNOPQR,0.1,10,10,40,180,0.2222222222222222,0.8979591836734693,0.909297052154195,0.06638222752065509
7,49,18,ABCDEFGHIJKLMNOPQR,0.15,15,10,40,180,0.2222222222222222,0.8571428571428571,0.909297052154195,0.06638222752065509
7,49,19,ABCDEFGHIJKLMNOPQRS,0.05,5,10,40,190,0.21052631578947367,0.9591836734693877,0.9087003222341566,0.06466129728589651
7,49,19,ABCDEFGHIJKLMNOPQRS,0.1,10,10,40,190,0.21052631578947367,0.8979591836734693,0.9087003222341566,0.06466129728589651
7,49,19,ABCDEFGHIJKLMNOPQRS,0.15,15,10,40,190,0.21052631578947367,0.8571428571428572,0.9087003222341566,0.06466129728589651
7,49,20,ABCDEFGHIJKLMNOPQRST,0.05,5,10,40,200,0.2,0.9591836734693879,0.903061224489796,0.0676477511998662
7,49,20,ABCDEFGHIJKLMNOPQRST,0.1,10,10,40,200,0.2,0.8979591836734693,0.903061224489796,0.0676477511998662
7,49,20,ABCDEFGHIJKLMNOPQRST,0.15,15,10,40,200,0.2,0.8571428571428571,0.903061224489796,0.0676477511998662
7,49,21,ABCDEFGHIJKLMNOPQRSTU,0.05,5,10,40,210,0.19047619047619047,0.9591836734693879,0.9057337220602527,0.0670905951179522
7,49,21,ABCDEFGHIJKLMNOPQRSTU,0.1,10,10,40,210,0.19047619047619047,0.8979591836734693,0.9057337220602527,0.0670905951179522
7,49,21,ABCDEFGHIJKLMNOPQRSTU,0.15,15,10,40,210,0.19047619047619047,0.8571428571428571,0.9057337220602527,0.0670905951179522
7,49,22,ABCDEFGHIJKLMNOPQRSTUV,0.05,5,10,40,220,0.18181818181818182,0.959183673469388,0.9063079777365493,0.06560088017898755
7,49,22,ABCDEFGHIJKLMNOPQRSTUV,0.1,10,10,40,220,0.18181818181818182,0.8979591836734694,0.9063079777365493,0.06560088017898755
7,49,22,ABCDEFGHIJKLMNOPQRSTUV,0.15,15,10,40,220,0.18181818181818182,0.8571428571428572,0.9063079777365493,0.06560088017898755
7,49,23,ABCDEFGHIJKLMNOPQRSTUVW,0.05,5,10,40,230,0.17391304347826086,0.9591836734693879,0.9023957409050577,0.06673148421282402
7,49,23,ABCDEFGHIJKLMNOPQRSTUVW,0.1,10,10,40,230,0.17391304347826086,0.8979591836734693,0.9023957409050577,0.06673148421282402
7,49,23,ABCDEFGHIJKLMNOPQRSTUVW,0.15,15,10,40,230,0.17391304347826086,0.8571428571428572,0.9023957409050577,0.06673148421282402
7,49,24,ABCDEFGHIJKLMNOPQRSTUVWX,0.05,5,10,40,240,0.16666666666666666,0.959183673469388,0.903061224489796,0.06540436912595038
7,49,24,ABCDEFGHIJKLMNOPQRSTUVWX,0.1,10,10,40,240,0.16666666666666666,0.8979591836734694,0.903061224489796,0.06540436912595038
7,49,24,ABCDEFGHIJKLMNOPQRSTUVWX,0.15,15,10,40,240,0.16666666666666666,0.8571428571428572,0.903061224489796,0.06540436912595038
7,49,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0.05,5,10,40,250,0.16,0.9591836734693879,0.9020408163265305,0.06427761529805559
7,49,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0.1,10,10,40,250,0.16,0.8979591836734694,0.9020408163265305,0.06427761529805559
7,49,25,ABCDEFGHIJKLMNOPQRSTUVWXY,0.15,15,10,40,250,0.16,0.8571428571428571,0.9020408163265305,0.06427761529805559
7,49,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0.05,5,10,40,260,0.15384615384615385,0.9591836734693879,0.8995290423861853,0.06426841284288451
7,49,26,ABCDEFGHIJKLMNOPQRSTUVWXYZ,0.1,10,10,40,260,0.15384615384615385,0.8979591836734694,0.8995290423861853,0.06426841284288451
